"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3731","TC22 - Add multiple products to cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1607","TC18 - Sort products by Price High to Low","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1603","TC17 - Sort products by Price Low to High","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1547","TC19 - Verify product image is visible","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1565","TC13 - Verify product names are visible","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","2352","TC37 - Verify finish button completes order","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1846","TC28 - Continue shopping from cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1424","TC20 - Verify Add to Cart button on inventory page","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1698","TC29 - Verify empty cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1861","TC27 - Verify product price in cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1699","TC16 - Sort products by Name Z to A","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1381","TC01 - Successful login with user: standard_user","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","2183","TC39 - Verify continue button is visible on checkout step one","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","2190","TC32 - Checkout with empty first name","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1984","TC24 - Verify cart badge count updates","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1293","TC04 - Login with empty username","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","2674","TC10 - Successful logout","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","6844","TC01 - Successful login with user: performance_glitch_user","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1746","TC30 - Verify cart item quantity is 1","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1063","TC08 - Verify login page title","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1579","TC02 - Login with invalid username","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1066","TC09 - Verify login button is visible","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1957","TC26 - Verify product name in cart","chromium","2026-06-10","failed","2026-06-10","Cart Tests","cart.spec.js","",""
"","2590","TC33 - Checkout with empty last name","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","2354","TC35 - Complete checkout with valid info","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","2214","TC36 - Verify order summary on checkout step two","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1874","TC31 - Navigate to checkout from cart","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","2315","TC34 - Checkout with empty postal code","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1529","TC03 - Login with invalid password","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1696","TC25 - Verify cart page opens","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","1433","TC01 - Successful login with user: visual_user","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","2637","TC40 - Verify Back Home button after completing order","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1353","TC07 - Login with locked out user","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1708","TC15 - Sort products by Name A to Z","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1476","TC12 - Verify product count on inventory page","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1482","TC14 - Verify product prices are visible","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1717","TC01 - Successful login with user: error_user","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","1304","TC05 - Login with empty password","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","2361","TC38 - Verify order confirmation message","chromium","2026-06-10","passed","2026-06-10","Checkout Tests","checkout.spec.js","",""
"","1715","TC11 - Verify inventory page loads after login","chromium","2026-06-10","passed","2026-06-10","Inventory Tests","inventory.spec.js","",""
"","1826","TC06 - Login with both fields empty","chromium","2026-06-10","passed","2026-06-10","Login Tests","login.spec.js","",""
"","2059","TC23 - Remove product from cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
"","7763","TC21 - Add single product to cart","chromium","2026-06-10","passed","2026-06-10","Cart Tests","cart.spec.js","",""
